CUST_ID,name,GENDER_CD,EDUCATION_CD,SUBS_TENURE,TOT_OB_CALL_INTL_ROAM_CNT,TOT_DAY_LAST_COMPLAINT_CNT,TOT_DAY_LAST_SUSPENDED_CNT,MTH_TO_SUBS_END_CNT,TOT_SRV_DROPPED_CNT,TOT_SRV_ADDED_CNT,BARRING_REASON_CD,REV_AMT_BASE_1,REV_AMT_BASE_2,CUST_AGE,PCT_CHNG_IB_SMS_CNT,CHURN_FLG
3283,Nicholas Q Anderson,F,2,102,1.723902606,19,4,2,2,2,1,446,1141,33,1.783783784,0
3741,Currie X Potter,M,1,144,0.214909826,2,1,1,1,1,2,554,322,52,0.884120172,0
4804,Daniels R Lee,M,1,114,0.468162059,14,2,4,0,0,2,560,1153,25,1.298850575,0
3683,Sally P Evans,M,1,138,0.212952014,17,4,4,1,0,3,305,1386,37,0.785388128,0
1638,Christian C Gonsalves,M,1,84,0.92305106,9,8,3,1,3,2,644,878,32,1.282758621,0
4474,Russel Q Fowler,M,2,138,0.15097287,13,14,2,0,2,3,327,916,24,1.191780822,0
367,Steve D Carson,M, .,114,0.32548136,6,11,2,1,1,2,690,745,51,0.797814208,0
7129,Brooks R Gilchrist,M, .,72,0.311390866,17,15,2,2,0,1,1024,1132,22,0.892561984,0
6376,Ian A Hawkins,M, .,162,0.3304542,3,22,4,2,1,2,328,782,58,0.878228782,0
6545,Hendrick F Stuward,M, .,150,0.534232196,17,21,1,2,1,0,780,535,37,0.4,0
4277,Clifford E Crowe,M, .,120,0.714606899,3,3,2,1,3,2,822,1341,47,1.321637427,0
880,Arlene V Baker,M, .,150,1.188736686,13,15,1,0,2,1,255,1140,43,1.495798319,0
6247,Stanford X Anderson,M,2,84,0.569458572,19,7,1,1,3,0,693,652,55,1.457943925,0
4242,Cathy E Renne,F,2,72,0.246570304,18,14,2,2,3,2,819,686,23,1.788732394,0
892,Bond E Elder,F,1,192,1.3688137,13,21,3,2,2,3,263,633,52,0.539215686,0
7336,Gregory C Nicholson,F,1,132,0.360354786,21,24,2,2,2,1,886,277,31,0.757446809,0
6582,James W Wingard,M,1,138,0.407521171,2,8,3,0,0,1,654,349,52,0.905349794,0
1269,David H Howarth,M,2,90,0.04751777,15,13,3,1,1,0,568,202,49,2.911111111,0
3514,Howard C King,M, .,108,2.171257776,21,15,3,1,2,2,951,726,29,1.593908629,0
1787,Russel C Albright,M,1,150,0.616401734,5,17,2,1,2,2,556,1390,30,0.803418803,0
7663,Goldie   Murdoch,M,1,138,0.548833309,21,19,1,0,2,2,775,733,62,0.901234568,0
3517,Phil N Bright,M,2,186,1.115811043,14,9,3,0,2,3,612,771,43,1.21888412,0
4085,Ana O Spence,M,1,96,0.385383978,16,32,2,2,1,0,1075,305,23,1.280898876,0
2312,Henry N Crawford,M,2,120,0.707037735,2,2,3,1,2,3,1054,897,56,1.103448276,0
7404,Henry E Marshall,M, .,102,0.165200934,19,7,2,0,2,0,660,669,32,1.41563786,0
1958,Nicholas J Adams,M, .,144,0.461128055,5,25,1,2,1,2,1056,600,57,0.795031056,0
3142,Stanley B Howarth,M, .,162,0.337812504,9,2,1,2,0,0,642,591,27,1.27753304,0
3001,Britney Q Grant,M,1,114,0.575485169,31,33,2,2,1,0,386,1360,52,0.914979757,0
5570,Amy X Winters,M,2,54,0.078685559,21,16,2,1,0,0,1113,1184,50,1.901840491,0
7261,Luke A Jhonson,F,2,150,0.202637256,10,25,4,2,3,0,267,1056,26,2.271428571,0
4669,Debra X Jhonson,F,2,132,4.462784202,21,23,2,2,1,1,1183,1143,33,1.540540541,0
873,Michelle Q Wallace,M,1,132,1.059685653,16,29,2,1,2,0,316,1224,50,1.092896175,0
1319,Carlin Y Robinson,M,2,132,7.592604439,17,6,1,1,2,3,395,1238,42,0.796296296,0
6142,Leo Z Barlow,M,1,60,0.029711152,21,20,3,1,0,0,323,852,31,1.371428571,0
